split_seed,auc_raw,auc_cae,delta,cae_wins
1,0.609223,0.617224,0.008001,True
2,0.600792,0.606986,0.006195,True
3,0.616622,0.60148,-0.015142,False
4,0.581089,0.601437,0.020348,True
5,0.577949,0.541857,-0.036092,False
6,0.594511,0.587585,-0.006926,False
7,0.632496,0.579368,-0.053127,False
8,0.623677,0.626,0.002323,True
9,0.618988,0.605954,-0.013035,False
10,0.600749,0.612019,0.011271,True
11,0.585391,0.553773,-0.031618,False
12,0.607502,0.577777,-0.029726,False
13,0.600189,0.605351,0.005162,True
14,0.611847,0.62828,0.016433,True
15,0.614041,0.608363,-0.005678,False
16,0.592446,0.619117,0.026671,True
17,0.63241,0.632195,-0.000215,False
18,0.548094,0.573174,0.02508,True
19,0.606814,0.566721,-0.040093,False
20,0.546675,0.571969,0.025295,True
21,0.620709,0.63155,0.010841,True
22,0.602942,0.599544,-0.003398,False
23,0.606212,0.598296,-0.007915,False
24,0.624193,0.603674,-0.02052,False
25,0.601695,0.619978,0.018283,True
26,0.546072,0.572744,0.026671,True
27,0.600232,0.578508,-0.021724,False
28,0.588832,0.601609,0.012776,True
29,0.579627,0.561774,-0.017853,False
30,0.593435,0.558204,-0.035232,False
31,0.542545,0.551235,0.00869,True
32,0.568055,0.552955,-0.015099,False
33,0.589349,0.606814,0.017465,True
34,0.576228,0.595113,0.018885,True
35,0.561,0.558118,-0.002882,False
36,0.599329,0.612062,0.012733,True
37,0.638346,0.607631,-0.030715,False
38,0.591543,0.619763,0.02822,True
39,0.591844,0.569904,-0.021939,False
40,0.625054,0.591112,-0.033941,False
41,0.657145,0.661662,0.004517,True
42,0.620107,0.62058,0.000473,True
43,0.582294,0.570894,-0.0114,False
44,0.621483,0.598167,-0.023316,False
45,0.572873,0.569302,-0.003571,False
46,0.629399,0.599888,-0.02951,False
47,0.627549,0.629356,0.001807,True
48,0.553816,0.590166,0.03635,True
49,0.658135,0.652413,-0.005721,False
50,0.625269,0.637185,0.011916,True
SUMMARY,0.5999 ± 0.0271,0.5967 ± 0.0272,-0.0032 ± 0.0210,24/50 (48.0%) — NOT MET | Wilcoxon p=8.0591e-01
