embedding,classifier,pub_dataset,n,roc_auc
Raw scGPT + Clinical,LogReg,PUB_BLCA,298,0.5551949536042419
Raw scGPT + Clinical,RF,PUB_BLCA,298,0.552040956255428
Raw scGPT + Clinical,XGBoost,PUB_BLCA,298,0.5334826530145814
Raw scGPT + Clinical,LightGBM,PUB_BLCA,298,0.5375508524934862
Raw scGPT + Clinical,MLP,PUB_BLCA,298,0.5973396718014352
Raw scGPT + Clinical,Stack,PUB_BLCA,298,0.5775471956849659
Raw scGPT + Clinical,LogReg,PUB_ccRCC_ICI,526,0.6165072661781145
Raw scGPT + Clinical,RF,PUB_ccRCC_ICI,526,0.5697428890821016
Raw scGPT + Clinical,XGBoost,PUB_ccRCC_ICI,526,0.8108464786982983
Raw scGPT + Clinical,LightGBM,PUB_ccRCC_ICI,526,0.8774996894795677
Raw scGPT + Clinical,MLP,PUB_ccRCC_ICI,526,0.5786392994659049
Raw scGPT + Clinical,Stack,PUB_ccRCC_ICI,526,0.8416035275121103
Raw scGPT + Clinical,LogReg,PUB_ccRCC_TKI,447,0.4808750270738575
Raw scGPT + Clinical,RF,PUB_ccRCC_TKI,447,0.5446610353043101
Raw scGPT + Clinical,XGBoost,PUB_ccRCC_TKI,447,0.48583495776478225
Raw scGPT + Clinical,LightGBM,PUB_ccRCC_TKI,447,0.4770413688542343
Raw scGPT + Clinical,MLP,PUB_ccRCC_TKI,447,0.4457006714316656
Raw scGPT + Clinical,Stack,PUB_ccRCC_TKI,447,0.47076023391812866
