embedding,model,cindex_mean,cindex_std,fold_1,fold_2,fold_3,fold_4,fold_5
cAE-PCA32 + Clinical,Cox-strat,0.563308891793797,0.020510972751380727,0.591432321363255,0.542743446776022,0.5848804623872493,0.5486080128491122,0.5488802155933463
cAE-PCA32 + Clinical,Coxnet,0.6490756793007387,0.008397024276530132,0.657464982679605,0.6335978529949332,0.6491811892459936,0.6495493887748729,0.6555849828082891
cAE-PCA32 + Clinical,RSF,0.6400157023462341,0.012473544193825823,0.6618972825268412,0.623302408439951,0.6401611349505211,0.6390425626840368,0.6356751231298207
cAE-PCA32 + Clinical,GB-Surv,0.6319680758924507,0.011109146857669271,0.6374228112830002,0.6113874557527242,0.6425694018740695,0.6296957258856072,0.6387649846668525
cAE-PCA32 + Clinical,XGB-Cox,0.634112706731326,0.011216257525718198,0.6473309378832541,0.6155519052356384,0.6371617479639198,0.6422548407245472,0.6282641018492705
cAE-PCA32 + Clinical,DeepSurv,0.653436479176882,0.00896332219418073,0.6603696452008521,0.6461837447655183,0.6398327349154918,0.6573123940394396,0.6634838769631075
cAE-PCA32 + Clinical,Stack,0.6525000235247744,0.009875047678506244,0.6632635497127611,0.6339217546213821,0.6530891496628426,0.6558624074239314,0.6563632562029551
Raw scGPT-PCA32 + Clinical,Cox-strat,0.5610317540704087,0.023261926598078006,0.5872582137401295,0.5311755315457048,0.5895875295560031,0.5489426251449987,0.5481948703652076
Raw scGPT-PCA32 + Clinical,Coxnet,0.6527111129734786,0.0057931980041645735,0.6552703487746627,0.6476181662540776,0.6604124704439969,0.6445302043365754,0.6557243750580801
Raw scGPT-PCA32 + Clinical,RSF,0.6385862610692857,0.014101680504464259,0.6609936097424532,0.6180274390949263,0.6438392153428496,0.6379271883644151,0.6321438528017842
Raw scGPT-PCA32 + Clinical,GB-Surv,0.6276604044323371,0.007032192749263936,0.6327968672676808,0.6150429169655045,0.6318854540677817,0.624899616311234,0.6336771675494842
Raw scGPT-PCA32 + Clinical,XGB-Cox,0.6307224301133922,0.016011936211205533,0.6546463842330615,0.6116419498877912,0.6399859882651721,0.6326180066030159,0.6147198215779203
Raw scGPT-PCA32 + Clinical,DeepSurv,0.6539491481997833,0.010803649005738939,0.6610796738171568,0.645188904055711,0.6504947893861108,0.6418086909966985,0.6711736827432395
Raw scGPT-PCA32 + Clinical,Stack,0.6521991566964953,0.008928546834128389,0.6612518019665641,0.6357957568886935,0.6586281635870042,0.6509547604175961,0.6543653006226187
cAE-full + Clinical,Cox-strat,,,,,,,
cAE-full + Clinical,Coxnet,0.6475887612318733,0.006237611018453231,0.6512253372635928,0.6375772158341624,0.6558586566249234,0.644307129472651,0.6489754669640369
cAE-full + Clinical,RSF,0.6315463654350852,0.016518861799073074,0.6547109322890893,0.6048631515628253,0.6246387599614678,0.6393771749799233,0.6341418083821206
cAE-full + Clinical,GB-Surv,0.6316304014819822,0.009300086983248147,0.6437162467457022,0.6156213127270204,0.6340528942989754,0.6289818863210493,0.6357796673171638
cAE-full + Clinical,XGB-Cox,0.6387981238472256,0.015654666422607055,0.6660068420939389,0.6175647224857136,0.6405771083282249,0.6356072097796021,0.6342347365486479
cAE-full + Clinical,DeepSurv,0.6552847539418454,0.010673345060076288,0.6543666759902748,0.6382250190870601,0.6710964182502847,0.6528062817881681,0.6599293745934393
cAE-full + Clinical,Stack,0.6528934593718038,0.011062126134588186,0.6683951201669643,0.6338176433843092,0.65440274980296,0.652650129383421,0.6552016541213642
